,goal_difference_1,form_1,form_weighted_1,goal_difference_2,form_2,form_weighted_2,home_away,target,team_1_B,team_1_C,team_1_D,team_2_B,team_2_C,team_2_D
0,6,3.0,12.0,-6,0.0,0.0,1,3,0,0,0,0,0,1
1,-6,0.0,0.0,6,3.0,12.0,0,0,0,0,1,0,0,0
2,1,3.0,9.0,-1,0.0,0.0,1,3,1,0,0,0,1,0
3,-1,0.0,0.0,1,3.0,9.0,0,0,0,1,0,1,0,0
4,1,3.0,9.0,-1,0.0,0.0,1,3,1,0,0,0,1,0
5,-1,0.0,0.0,1,3.0,9.0,0,0,0,1,0,1,0,0
6,-2,0.0,0.0,2,3.0,0.0,1,0,0,0,1,0,0,0
7,2,3.0,0.0,-2,0.0,0.0,0,3,0,0,0,0,0,1
8,2,3.0,12.0,-2,0.0,0.0,1,3,0,0,0,0,0,1
9,-2,0.0,0.0,2,3.0,12.0,0,0,0,0,1,0,0,0
10,0,1.0,2.0,0,1.0,2.0,1,1,0,1,0,0,1,0
11,0,1.0,2.0,0,1.0,2.0,0,1,0,1,0,0,1,0
12,1,3.0,9.0,-1,0.0,0.0,1,3,1,0,0,0,1,0
13,-1,0.0,0.0,1,3.0,9.0,0,0,0,1,0,1,0,0
14,1,3.0,6.0,-1,0.0,0.0,1,3,0,1,0,0,1,0
15,-1,0.0,0.0,1,3.0,6.0,0,0,0,1,0,0,1,0
16,0,1.0,2.0,0,1.0,2.0,1,1,0,1,0,0,1,0
17,0,1.0,2.0,0,1.0,2.0,0,1,0,1,0,0,1,0
18,-1,0.0,0.0,6,3.0,0.0,1,0,0,1,0,0,0,0
19,6,3.0,0.0,-1,0.0,0.0,0,3,0,0,0,0,1,0
20,1,1.5,3.0,-2,0.5,1.5,1,3,0,1,0,0,0,1
21,-2,0.5,1.5,1,1.5,3.0,0,0,0,0,1,0,1,0
22,-2,0.5,1.0,3,3.0,0.5,1,0,0,1,0,0,0,0
23,3,3.0,0.5,-2,0.5,1.0,0,3,0,0,0,0,1,0
24,1,1.5,4.5,-1,1.5,2.25,1,3,1,0,0,0,1,0
25,-1,1.5,2.25,1,1.5,4.5,0,0,0,1,0,1,0,0
26,-1,1.5,3.0,0,1.5,1.5,1,3,0,1,0,0,1,0
27,0,1.5,1.5,-1,1.5,3.0,0,0,0,1,0,0,1,0
28,2,2.0,7.5,2,2.0,3.75,1,1,1,0,0,0,0,0
29,2,2.0,3.75,2,2.0,7.5,0,1,0,0,0,1,0,0
30,1,2.0,5.5,0,1.5,2.75,1,3,1,0,0,0,1,0
31,0,1.5,2.75,1,2.0,5.5,0,0,0,1,0,1,0,0
32,-7,0.0,0.0,-1,1.5,0.0,1,0,0,0,1,0,1,0
33,-1,1.5,0.0,-7,0.0,0.0,0,3,0,1,0,0,0,1
34,-1,0.5,1.0,0,1.0,0.5,1,1,0,1,0,0,1,0
35,0,1.0,0.5,-1,0.5,1.0,0,1,0,1,0,0,1,0
36,2,2.0,8.0,1,1.5,4.0,1,3,0,0,0,1,0,0
37,1,1.5,4.0,2,2.0,8.0,0,0,1,0,0,0,0,0
38,0,1.0,2.0,2,1.6666666666666667,0.6666666666666666,1,1,0,1,0,0,1,0
39,2,1.6666666666666667,0.6666666666666666,0,1.0,2.0,0,1,0,1,0,0,1,0
40,10,3.0,12.0,-4,0.3333333333333333,4.0,1,3,0,0,0,0,1,0
41,-4,0.3333333333333333,4.0,10,3.0,12.0,0,0,0,1,0,0,0,0
42,6,2.0,6.0,-7,1.0,2.0,1,3,1,0,0,0,1,0
43,-7,1.0,2.0,6,2.0,6.0,0,0,0,1,0,1,0,0
44,1,2.0,5.0,0,1.0,1.6666666666666667,1,3,0,1,0,0,1,0
45,0,1.0,1.6666666666666667,1,2.0,5.0,0,0,0,1,0,0,1,0
46,-6,0.3333333333333333,0.6666666666666666,5,2.3333333333333335,0.2222222222222222,1,0,0,0,1,0,0,0
47,5,2.3333333333333335,0.2222222222222222,-6,0.3333333333333333,0.6666666666666666,0,3,0,0,0,0,0,1
48,2,2.0,6.0,-10,0.0,0.0,1,3,1,0,0,0,0,1
49,-10,0.0,0.0,2,2.0,6.0,0,0,0,0,1,1,0,0
50,-3,1.0,2.0,1,1.3333333333333333,0.6666666666666666,1,0,0,1,0,0,1,0
51,1,1.3333333333333333,0.6666666666666666,-3,1.0,2.0,0,3,0,1,0,0,1,0
52,5,3.0,10.0,-5,0.0,0.0,1,3,0,0,0,0,0,1
53,-5,0.0,0.0,5,3.0,10.0,0,0,0,0,1,0,0,0
54,-4,0.3333333333333333,0.6666666666666666,1,2.0,0.2222222222222222,1,0,0,1,0,0,1,0
55,1,2.0,0.2222222222222222,-4,0.3333333333333333,0.6666666666666666,0,3,0,1,0,0,1,0
56,-1,1.5,3.75,-7,0.25,0.9375,1,3,0,1,0,0,0,1
57,-7,0.25,0.9375,-1,1.5,3.75,0,0,0,0,1,0,1,0
58,-7,1.0,2.0,0,1.0,0.5,1,1,0,1,0,0,1,0
59,0,1.0,0.5,-7,1.0,2.0,0,1,0,1,0,0,1,0
60,-2,1.25,4.25,10,2.25,1.0625,1,0,0,1,0,0,0,0
61,10,2.25,1.0625,-2,1.25,4.25,0,3,0,0,0,0,1,0
62,0,1.0,2.0,-3,1.0,0.5,1,1,0,1,0,0,1,0
63,-3,1.0,0.5,0,1.0,2.0,0,1,0,1,0,0,1,0
64,13,3.0,12.0,2,2.25,3.0,1,3,0,0,0,1,0,0
65,2,2.25,3.0,13,3.0,12.0,0,0,1,0,0,0,0,0
66,-7,0.0,0.0,7,2.5,0.0,1,0,0,0,1,0,0,0
67,7,2.5,0.0,-7,0.0,0.0,0,3,0,0,0,0,0,1
68,5,2.0,6.5,2,1.75,1.625,1,1,1,0,0,0,1,0
69,2,1.75,1.625,5,2.0,6.5,0,1,0,1,0,1,0,0
70,-11,0.0,0.0,2,1.75,0.0,1,0,0,0,1,0,1,0
71,2,1.75,0.0,-11,0.0,0.0,0,3,0,1,0,0,0,1
72,10,2.25,7.5,-1,1.5,1.875,1,3,0,0,0,0,1,0
73,-1,1.5,1.875,10,2.25,7.5,0,0,0,1,0,0,0,0
74,4,2.0,5.8,-8,0.2,1.16,1,3,1,0,0,0,0,1
75,-8,0.2,1.16,4,2.0,5.8,0,0,0,0,1,1,0,0
76,3,2.0,5.4,2,2.0,1.08,1,1,1,0,0,1,0,0
77,2,2.0,1.08,3,2.0,5.4,0,1,1,0,0,1,0,0
78,-2,1.4,2.8,-8,0.8,0.5599999999999999,1,3,0,1,0,0,1,0
79,-8,0.8,0.5599999999999999,-2,1.4,2.8,0,0,0,1,0,0,1,0
80,1,1.4,2.8,1,1.4,0.5599999999999999,1,0,0,1,0,0,1,0
81,1,1.4,0.5599999999999999,1,1.4,2.8,0,3,0,1,0,0,1,0
82,-8,0.2,0.4,14,3.0,0.08,1,0,0,0,1,0,0,0
83,14,3.0,0.08,-8,0.2,0.4,0,3,0,0,0,0,0,1
84,-10,0.6,1.2,-3,1.0,0.24,1,3,0,1,0,0,1,0
85,-3,1.0,0.24,-10,0.6,1.2,0,0,0,1,0,0,1,0
86,1,1.4,2.8,-8,0.0,0.0,1,3,0,1,0,0,0,1
87,-8,0.0,0.0,1,1.4,2.8,0,0,0,0,1,0,1,0
88,7,2.2,8.2,5,1.8,1.64,1,1,0,0,0,0,1,0
89,5,1.8,1.64,7,2.2,8.2,0,1,0,1,0,0,0,0
90,5,1.8,5.6,-2,1.4,1.1199999999999999,1,3,0,1,0,0,1,0
91,-2,1.4,1.1199999999999999,5,1.8,5.6,0,0,0,1,0,0,1,0
92,14,2.6,10.4,7,1.8,2.08,1,1,0,0,0,1,0,0
93,7,1.8,2.08,14,2.6,10.4,0,1,1,0,0,0,0,0
94,-9,0.0,0.0,2,1.8,0.0,1,0,0,0,1,0,1,0
95,2,1.8,0.0,-9,0.0,0.0,0,3,0,1,0,0,0,1
96,4,2.0,7.8,-10,0.0,0.0,1,3,0,0,0,0,0,1
97,-10,0.0,0.0,4,2.0,7.8,0,0,0,0,1,0,0,0
98,-2,1.8,4.2,2,1.4,0.8400000000000001,1,3,0,1,0,0,1,0
99,2,1.4,0.8400000000000001,-2,1.8,4.2,0,0,0,1,0,0,1,0
100,-8,1.0,2.0,-10,0.8,0.4,1,1,0,1,0,0,1,0
101,-10,0.8,0.4,-8,1.0,2.0,0,1,0,1,0,0,1,0
102,3,2.0,4.6,10,1.8,0.9199999999999999,1,3,1,0,0,0,0,0
103,10,1.8,0.9199999999999999,3,2.0,4.6,0,0,0,0,0,1,0,0
104,-3,0.6,1.4,1,1.6,0.27999999999999997,1,1,0,1,0,0,1,0
105,1,1.6,0.27999999999999997,-3,0.6,1.4,0,1,0,1,0,0,1,0
106,-4,0.6,0.6,0,1.4,0.12,1,3,0,0,1,0,1,0
107,0,1.4,0.12,-4,0.6,0.6,0,0,0,1,0,0,0,1
108,10,1.8,6.6,4,2.0,1.3199999999999998,1,1,0,0,0,0,0,0
109,4,2.0,1.3199999999999998,10,1.8,6.6,0,1,0,0,0,0,0,0
110,3,2.2,5.0,-3,1.2,1.0,1,3,1,0,0,0,1,0
111,-3,1.2,1.0,3,2.2,5.0,0,0,0,1,0,1,0,0
112,0,1.6,4.4,-10,0.2,0.8800000000000001,1,1,0,1,0,0,0,1
113,-10,0.2,0.8800000000000001,0,1.6,4.4,0,1,0,0,1,0,1,0
114,2,1.6,4.0,14,2.2,0.8,1,1,0,1,0,0,0,0
115,14,2.2,0.8,2,1.6,4.0,0,1,0,0,0,0,1,0
116,-3,1.0,2.0,-4,0.8,0.4,1,1,0,1,0,0,0,1
117,-4,0.8,0.4,-3,1.0,2.0,0,1,0,0,1,0,1,0
118,8,2.2,8.0,-10,0.0,0.0,1,3,0,0,0,0,0,1
119,-10,0.0,0.0,8,2.2,8.0,0,0,0,0,1,0,0,0
120,-9,1.4,2.8,2,1.4,0.5599999999999999,1,3,0,1,0,0,1,0
121,2,1.4,0.5599999999999999,-9,1.4,2.8,0,0,0,1,0,0,1,0
122,2,2.0,4.0,-9,0.4,0.8,1,3,0,1,0,0,1,0
123,-9,0.4,0.8,2,2.0,4.0,0,0,0,1,0,0,1,0
124,-4,0.4,0.8,7,2.2,0.16,1,0,0,1,0,0,0,0
125,7,2.2,0.16,-4,0.4,0.8,0,3,0,0,0,0,1,0
126,-10,0.2,0.2,2,1.6,0.04,1,0,0,0,1,0,1,0
127,2,1.6,0.04,-10,0.2,0.2,0,3,0,1,0,0,0,1
128,-1,1.4,3.4,6,2.6,0.6799999999999999,1,0,0,1,0,1,0,0
129,6,2.6,0.6799999999999999,-1,1.4,3.4,0,3,1,0,0,0,1,0
130,-10,0.2,0.2,10,1.6,0.04,1,1,0,0,1,1,0,0
131,10,1.6,0.04,-10,0.2,0.2,0,1,1,0,0,0,0,1
132,5,1.6,6.0,7,1.6,1.2,1,3,0,0,0,1,0,0
133,7,1.6,1.2,5,1.6,6.0,0,0,1,0,0,0,0,0
134,-2,1.8,3.6,-4,1.0,0.72,1,3,0,1,0,0,1,0
135,-4,1.0,0.72,-2,1.8,3.6,0,0,0,1,0,0,1,0
136,-7,1.0,2.0,-6,0.2,0.4,1,3,0,1,0,0,0,1
137,-6,0.2,0.4,-7,1.0,2.0,0,0,0,0,1,0,1,0
138,16,2.2,8.8,-2,1.0,1.7600000000000002,1,3,0,0,0,0,1,0
139,-2,1.0,1.7600000000000002,16,2.2,8.8,0,0,0,1,0,0,0,0
140,9,2.2,7.6,-11,1.4,1.52,1,3,0,0,0,0,1,0
141,-11,1.4,1.52,9,2.2,7.6,0,0,0,1,0,0,0,0
142,-1,1.4,2.0,-1,1.4,0.4,1,3,0,1,0,0,1,0
143,-1,1.4,0.4,-1,1.4,2.0,0,0,0,1,0,0,1,0
144,-2,1.0,2.6,5,1.6,0.52,1,1,0,1,0,0,1,0
145,5,1.6,0.52,-2,1.0,2.6,0,1,0,1,0,0,1,0
146,-6,0.8,1.6,18,2.2,0.32,1,0,0,1,0,0,0,0
147,18,2.2,0.32,-6,0.8,1.6,0,3,0,0,0,0,1,0
148,1,1.4,2.8,-12,0.2,0.5599999999999999,1,3,0,1,0,0,0,1
149,-12,0.2,0.5599999999999999,1,1.4,2.8,0,0,0,0,1,0,1,0
150,-9,0.8,1.6,11,2.6,0.32,1,0,0,1,0,0,0,0
151,11,2.6,0.32,-9,0.8,1.6,0,3,0,0,0,0,1,0
152,-7,0.2,0.4,0,1.8,0.08,1,0,0,0,1,0,1,0
153,0,1.8,0.08,-7,0.2,0.4,0,3,0,1,0,0,0,1
154,-13,1.4,2.8,0,1.8,0.5599999999999999,1,0,0,1,0,0,1,0
155,0,1.8,0.5599999999999999,-13,1.4,2.8,0,3,0,1,0,0,1,0
156,10,1.2,4.2,-1,1.6,0.8400000000000001,1,1,1,0,0,0,1,0
157,-1,1.6,0.8400000000000001,10,1.2,4.2,0,1,0,1,0,1,0,0
158,7,3.0,8.4,4,1.6,1.6800000000000002,1,3,0,0,0,1,0,0
159,4,1.6,1.6800000000000002,7,3.0,8.4,0,0,1,0,0,0,0,0
160,10,1.6,5.6,-16,0.2,1.1199999999999999,1,3,1,0,0,0,0,1
161,-16,0.2,1.1199999999999999,10,1.6,5.6,0,0,0,0,1,1,0,0
162,4,1.6,6.0,-2,1.0,1.2,1,3,1,0,0,0,1,0
163,-2,1.0,1.2,4,1.6,6.0,0,0,0,1,0,1,0,0
164,1,1.8,4.2,-10,0.8,0.8400000000000001,1,3,0,1,0,0,1,0
165,-10,0.8,0.8400000000000001,1,1.8,4.2,0,0,0,1,0,0,1,0
166,18,1.8,7.2,7,2.6,1.44,1,1,0,0,0,0,0,0
167,7,2.6,1.44,18,1.8,7.2,0,1,0,0,0,0,0,0
168,-14,0.2,0.2,-4,0.8,0.04,1,0,0,0,1,0,1,0
169,-4,0.8,0.04,-14,0.2,0.2,0,3,0,1,0,0,0,1
170,-19,0.2,0.2,13,1.2,0.04,1,0,0,0,1,1,0,0
171,13,1.2,0.04,-19,0.2,0.2,0,3,1,0,0,0,0,1
172,-3,1.8,3.6,-4,0.8,0.72,1,0,0,1,0,0,1,0
173,-4,0.8,0.72,-3,1.8,3.6,0,3,0,1,0,0,1,0
174,6,1.6,3.2,9,1.4,0.64,1,3,0,1,0,1,0,0
175,9,1.4,0.64,6,1.6,3.2,0,0,1,0,0,0,1,0
176,13,3.0,11.4,-1,1.4,2.2800000000000002,1,3,0,0,0,0,1,0
177,-1,1.4,2.2800000000000002,13,3.0,11.4,0,0,0,1,0,0,0,0
178,1,2.2,3.6,-15,0.8,0.72,1,3,0,1,0,0,0,1
179,-15,0.8,0.72,1,2.2,3.6,0,0,0,0,1,0,1,0
180,1,1.8,4.2,13,3.0,0.8400000000000001,1,0,0,1,0,0,0,0
181,13,3.0,0.8400000000000001,1,1.8,4.2,0,3,0,0,0,0,1,0
182,-6,0.4,0.8,10,1.8,0.16,1,0,0,1,0,1,0,0
183,10,1.8,0.16,-6,0.4,0.8,0,3,1,0,0,0,1,0
184,-4,1.0,2.0,7,1.6,0.4,1,1,0,1,0,0,1,0
185,7,1.6,0.4,-4,1.0,2.0,0,1,0,1,0,0,1,0
186,1,1.8,3.6,-5,1.2,0.72,1,3,0,1,0,0,1,0
187,-5,1.2,0.72,1,1.8,3.6,0,0,0,1,0,0,1,0
188,-11,0.6,1.2,-13,0.8,0.24,1,0,0,1,0,0,0,1
189,-13,0.8,0.24,-11,0.6,1.2,0,3,0,0,1,0,1,0
190,-5,0.6,1.2,2,2.2,0.24,1,0,0,1,0,0,1,0
191,2,2.2,0.24,-5,0.6,1.2,0,3,0,1,0,0,1,0
192,14,1.8,6.0,17,1.6,1.2,1,3,0,0,0,0,0,0
193,17,1.6,1.2,14,1.8,6.0,0,0,0,0,0,0,0,0
194,7,2.2,7.4,-19,0.4,1.48,1,1,1,0,0,0,0,1
195,-19,0.4,1.48,7,2.2,7.4,0,1,0,0,1,1,0,0
196,-16,0.6,1.2,7,2.2,0.24,1,0,0,0,1,1,0,0
197,7,2.2,0.24,-16,0.6,1.2,0,3,1,0,0,0,0,1
198,-5,1.2,2.4,14,3.0,0.48,1,0,0,1,0,0,0,0
199,14,3.0,0.48,-5,1.2,2.4,0,3,0,0,0,0,1,0
200,-6,0.4,0.8,7,1.8,0.16,1,1,0,1,0,1,0,0
201,7,1.8,0.16,-6,0.4,0.8,0,1,1,0,0,0,1,0
202,8,2.6,7.0,13,1.6,1.4,1,3,0,0,0,0,1,0
203,13,1.6,1.4,8,2.6,7.0,0,0,0,1,0,0,0,0
204,-13,1.0,1.0,-5,0.8,0.2,1,1,0,0,1,0,1,0
205,-5,0.8,0.2,-13,1.0,1.0,0,1,0,1,0,0,0,1
206,10,1.4,4.2,-4,1.0,0.8400000000000001,1,1,1,0,0,0,1,0
207,-4,1.0,0.8400000000000001,10,1.4,4.2,0,1,0,1,0,1,0,0
208,-19,0.4,0.4,-16,0.2,0.08,1,1,0,0,1,0,0,1
209,-16,0.2,0.08,-19,0.4,0.4,0,1,0,0,1,0,0,1
210,18,2.0,8.0,-1,1.2,1.6,1,3,0,0,0,0,1,0
211,-1,1.2,1.6,18,2.0,8.0,0,0,0,1,0,0,0,0
212,4,2.6,5.2,-13,0.6,1.04,1,3,0,1,0,0,1,0
213,-13,0.6,1.04,4,2.6,5.2,0,0,0,1,0,0,1,0
214,8,2.0,6.4,0,1.2,1.28,1,3,1,0,0,0,1,0
215,0,1.2,1.28,8,2.0,6.4,0,0,0,1,0,1,0,0
216,0,1.2,2.4,18,2.0,0.48,1,0,0,1,0,0,0,0
217,18,2.0,0.48,0,1.2,2.4,0,3,0,0,0,0,1,0
218,11,1.8,6.2,6,1.4,1.24,1,3,1,0,0,0,1,0
219,6,1.4,1.24,11,1.8,6.2,0,0,0,1,0,1,0,0
220,-1,1.4,2.8,-8,0.8,0.5599999999999999,1,1,0,1,0,0,1,0
221,-8,0.8,0.5599999999999999,-1,1.4,2.8,0,1,0,1,0,0,1,0
222,16,2.0,6.6,-9,0.4,1.3199999999999998,1,3,1,0,0,0,1,0
223,-9,0.4,1.3199999999999998,16,2.0,6.6,0,0,0,1,0,1,0,0
224,-6,0.8,1.6,9,2.0,0.32,1,0,0,1,0,0,0,0
225,9,2.0,0.32,-6,0.8,1.6,0,3,0,0,0,0,1,0
226,-15,0.8,1.4,-14,0.8,0.27999999999999997,1,3,0,1,0,0,0,1
227,-14,0.8,0.27999999999999997,-15,0.8,1.4,0,0,0,0,1,0,1,0
228,18,3.0,12.0,3,2.0,2.4,1,3,0,0,0,0,1,0
229,3,2.0,2.4,18,3.0,12.0,0,0,0,1,0,0,0,0
230,-15,0.0,0.0,-17,1.0,0.0,1,0,0,0,1,0,0,1
231,-17,1.0,0.0,-15,0.0,0.0,0,3,0,0,1,0,0,1
232,-4,1.2,2.4,8,2.2,0.48,1,1,0,1,0,1,0,0
233,8,2.2,0.48,-4,1.2,2.4,0,1,1,0,0,0,1,0
234,8,2.2,6.4,11,1.8,1.28,1,1,1,0,0,1,0,0
235,11,1.8,1.28,8,2.2,6.4,0,1,1,0,0,1,0,0
236,25,2.0,8.0,-11,0.8,1.6,1,3,0,0,0,0,1,0
237,-11,0.8,1.6,25,2.0,8.0,0,0,0,1,0,0,0,0
238,-13,1.4,1.4,17,2.4,0.27999999999999997,1,3,0,0,1,0,0,0
239,17,2.4,0.27999999999999997,-13,1.4,1.4,0,0,0,0,0,0,0,1
240,6,1.0,2.8,16,2.0,0.5599999999999999,1,1,0,1,0,1,0,0
241,16,2.0,0.5599999999999999,6,1.0,2.8,0,1,1,0,0,0,1,0
242,-16,1.6,1.6,-5,1.2,0.32,1,3,0,0,1,0,1,0
243,-5,1.2,0.32,-16,1.6,1.6,0,0,0,1,0,0,0,1
244,-7,0.8,1.6,-16,0.0,0.0,1,3,0,1,0,0,0,1
245,-16,0.0,0.0,-7,0.8,1.6,0,0,0,0,1,0,1,0
246,8,2.0,6.4,-14,1.4,1.28,1,0,0,0,0,0,1,0
247,-14,1.4,1.28,8,2.0,6.4,0,3,0,1,0,0,0,0
248,-8,0.8,1.6,-3,0.6,0.32,1,3,0,1,0,0,1,0
249,-3,0.6,0.32,-8,0.8,1.6,0,0,0,1,0,0,1,0
250,2,1.8,3.6,0,1.4,0.72,1,0,0,1,0,0,1,0
251,0,1.4,0.72,2,1.8,3.6,0,3,0,1,0,0,1,0
252,11,1.4,4.4,16,2.0,0.8800000000000001,1,1,1,0,0,1,0,0
253,16,2.0,0.8800000000000001,11,1.4,4.4,0,1,1,0,0,1,0,0
254,-4,1.2,2.4,-9,0.8,0.48,1,3,0,1,0,0,1,0
255,-9,0.8,0.48,-4,1.2,2.4,0,0,0,1,0,0,1,0
256,2,1.4,2.8,-7,1.0,0.5599999999999999,1,1,0,1,0,0,1,0
257,-7,1.0,0.5599999999999999,2,1.4,2.8,0,1,0,1,0,0,1,0
258,-1,1.2,2.4,-18,1.6,0.48,1,3,0,1,0,0,0,1
259,-18,1.6,0.48,-1,1.2,2.4,0,0,0,0,1,0,1,0
260,19,2.4,9.6,6,1.4,1.92,1,3,0,0,0,1,0,0
261,6,1.4,1.92,19,2.4,9.6,0,0,1,0,0,0,0,0
262,-14,1.6,3.0,6,1.2,0.6,1,1,0,1,0,0,1,0
263,6,1.2,0.6,-14,1.6,3.0,0,1,0,1,0,0,1,0
264,-10,0.8,1.6,7,1.6,0.32,1,3,0,1,0,1,0,0
265,7,1.6,0.32,-10,0.8,1.6,0,0,1,0,0,0,1,0
266,-17,0.0,0.0,26,2.4,0.0,1,0,0,0,1,0,0,0
267,26,2.4,0.0,-17,0.0,0.0,0,3,0,0,0,0,0,1
268,-1,0.8,1.6,-12,2.0,0.32,1,0,0,1,0,0,0,1
269,-12,2.0,0.32,-1,0.8,1.6,0,3,0,0,1,0,1,0
270,16,1.6,5.4,-4,1.2,1.08,1,1,1,0,0,0,1,0
271,-4,1.2,1.08,16,1.6,5.4,0,1,0,1,0,1,0,0
272,-10,0.8,1.6,-9,1.4,0.32,1,0,0,1,0,0,1,0
273,-9,1.4,0.32,-10,0.8,1.6,0,3,0,1,0,0,1,0
274,10,1.6,5.4,-4,0.6,1.08,1,3,1,0,0,0,1,0
275,-4,0.6,1.08,10,1.6,5.4,0,0,0,1,0,1,0,0
276,-17,2.0,2.0,1,0.8,0.4,1,3,0,0,1,0,1,0
277,1,0.8,0.4,-17,2.0,2.0,0,0,0,1,0,0,0,1
278,11,1.4,4.4,-14,1.8,0.8800000000000001,1,1,1,0,0,0,1,0
279,-14,1.8,0.8800000000000001,11,1.4,4.4,0,1,0,1,0,1,0,0
280,29,3.0,12.0,16,1.8,2.4,1,3,0,0,0,0,0,0
281,16,1.8,2.4,29,3.0,12.0,0,0,0,0,0,0,0,0
282,-13,1.4,1.4,-6,1.6,0.27999999999999997,1,0,0,0,1,0,1,0
283,-6,1.6,0.27999999999999997,-13,1.4,1.4,0,3,0,1,0,0,0,1
284,6,0.8,1.8,-1,1.0,0.36,1,1,0,1,0,0,1,0
285,-1,1.0,0.36,6,0.8,1.8,0,1,0,1,0,0,1,0
286,8,1.8,6.6,-19,0.0,0.0,1,3,0,0,0,0,0,1
287,-19,0.0,0.0,8,1.8,6.6,0,0,0,0,1,0,0,0
288,-6,1.6,3.2,29,3.0,0.64,1,0,0,1,0,0,0,0
289,29,3.0,0.64,-6,1.6,3.2,0,3,0,0,0,0,1,0
290,-6,1.0,2.0,13,1.8,0.4,1,0,0,1,0,0,0,0
291,13,1.8,0.4,-6,1.0,2.0,0,3,0,0,0,0,1,0
292,2,0.8,1.6,-14,1.2,0.32,1,3,0,1,0,0,0,1
293,-14,1.2,0.32,2,0.8,1.6,0,0,0,0,1,0,1,0
294,-19,0.2,0.2,-10,0.8,0.04,1,1,0,0,1,0,1,0
295,-10,0.8,0.04,-19,0.2,0.2,0,1,0,1,0,0,0,1
296,-8,1.8,3.6,-18,1.8,0.72,1,3,0,1,0,0,0,1
297,-18,1.8,0.72,-8,1.8,3.6,0,0,0,0,1,0,1,0
298,-15,1.6,3.2,17,1.8,0.64,1,0,0,1,0,1,0,0
299,17,1.8,0.64,-15,1.6,3.2,0,3,1,0,0,0,1,0
300,19,1.8,7.2,7,1.0,1.44,1,3,0,0,0,1,0,0
301,7,1.0,1.44,19,1.8,7.2,0,0,1,0,0,0,0,0
302,1,1.6,3.2,6,1.2,0.64,1,3,0,1,0,1,0,0
303,6,1.2,0.64,1,1.6,3.2,0,0,1,0,0,0,1,0
304,-4,0.8,1.6,6,0.8,0.32,1,1,0,1,0,0,1,0
305,6,0.8,0.32,-4,0.8,1.6,0,1,0,1,0,0,1,0
306,2,0.8,1.6,7,1.0,0.32,1,0,0,1,0,1,0,0
307,7,1.0,0.32,2,0.8,1.6,0,3,1,0,0,0,1,0
308,-12,1.8,1.8,-20,1.2,0.36,1,3,0,0,1,0,0,1
309,-20,1.2,0.36,-12,1.8,1.8,0,0,0,0,1,0,0,1
310,20,1.8,7.2,12,1.2,1.44,1,3,0,0,0,1,0,0
311,12,1.2,1.44,20,1.8,7.2,0,0,1,0,0,0,0,0
312,-24,0.2,0.2,11,1.4,0.04,1,0,0,0,1,0,1,0
313,11,1.4,0.04,-24,0.2,0.2,0,3,0,1,0,0,0,1
314,-9,1.8,3.6,-5,1.4,0.72,1,0,0,1,0,0,1,0
315,-5,1.4,0.72,-9,1.8,3.6,0,3,0,1,0,0,1,0
316,-16,1.0,2.0,31,3.0,0.4,1,0,0,1,0,0,0,0
317,31,3.0,0.4,-16,1.0,2.0,0,3,0,0,0,0,1,0
318,0,1.4,2.8,-9,1.4,0.5599999999999999,1,0,0,1,0,0,1,0
319,-9,1.4,0.5599999999999999,0,1.4,2.8,0,3,0,1,0,0,1,0
320,-6,2.0,4.0,5,0.6,0.8,1,3,0,1,0,1,0,0
321,5,0.6,0.8,-6,2.0,4.0,0,0,1,0,0,0,1,0
322,-4,1.0,2.0,17,1.4,0.4,1,1,0,1,0,1,0,0
323,17,1.4,0.4,-4,1.0,2.0,0,1,1,0,0,0,1,0
324,-20,1.2,1.2,0,1.4,0.24,1,3,0,0,1,0,1,0
325,0,1.4,0.24,-20,1.2,1.2,0,0,0,1,0,0,0,1
